Entity,Code,Year,"Age-standardized deaths that are from malignant neoplasms per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from digestive diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from unintentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from intentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from neuropsychiatric conditions per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory diseases per 100,000 people, in both sexes aged all ages"
Armenia,ARM,1999,104.001045,357.95068,12.446376,10.161865,20.651175,16.32749,4.2731442,5.8155766,28.859505
Armenia,ARM,2000,99.131,332.6742,10.077287,9.64863,19.465801,16.28778,3.805389,5.675165,28.012148
Armenia,ARM,2001,102.23114,330.90414,8.446634,7.995816,21.877605,15.860726,3.2884297,6.3351007,24.683935
Armenia,ARM,2002,122.2831,461.39658,9.007732,8.892324,29.647732,18.241007,4.397674,7.506626,37.16582
Armenia,ARM,2003,124.110214,463.36203,8.849824,8.129955,29.53125,17.892443,3.6582685,6.2161846,40.01497
Armenia,ARM,2006,144.2199,364.11295,22.002949,9.747661,43.08821,14.696664,4.6588697,3.4413872,34.266254
Armenia,ARM,2007,143.3668,354.03165,17.24788,8.51472,37.803787,11.51353,3.8960202,4.440392,34.217194
Armenia,ARM,2008,146.22844,403.02014,19.203844,9.026288,42.48948,13.033186,3.4867616,4.005019,37.406998
Armenia,ARM,2009,150.39058,349.8879,15.399793,10.066265,43.247463,12.238719,3.7864003,4.0689535,33.170074
Armenia,ARM,2010,150.66257,343.95685,15.460982,10.700959,42.96001,11.430557,3.9409537,4.29901,28.626059
Armenia,ARM,2011,148.39795,323.52078,14.59254,8.847551,45.149513,12.312753,3.4169428,3.4632285,29.767416
Armenia,ARM,2012,144.86919,322.80957,14.510203,8.980151,39.999527,12.377847,4.2015705,3.654895,28.33609
Armenia,ARM,2013,140.99617,307.88495,14.797947,7.892883,40.042908,11.381288,3.2149773,2.832592,27.273241
Armenia,ARM,2014,142.19801,312.74008,14.825234,8.87265,39.760998,10.963262,3.379942,3.1611617,31.207037
Armenia,ARM,2021,121.87517,352.69336,178.07222,5.4102435,28.348259,21.661226,3.0788183,6.8131857,10.922008
Armenia,ARM,2020,127.13761,375.8216,136.314,5.142853,31.128565,18.192677,119.9542,6.058645,14.914362
Armenia,ARM,2019,126.19673,304.684,32.871216,5.405173,28.088337,21.872427,2.1567965,5.5435476,15.473576
Armenia,ARM,2018,123.567154,310.9402,33.270714,5.4353456,27.854536,24.258158,3.4469826,4.72304,11.550047
Armenia,ARM,2017,132.38078,334.87628,22.369265,5.7679305,35.310482,13.64145,4.62858,4.528697,16.50196
Armenia,ARM,2016,137.46786,306.29126,21.427942,7.5696406,43.142803,11.607141,7.4789104,4.369667,29.321867
Armenia,ARM,2015,149.48169,296.68723,18.150202,9.314965,39.57105,14.81188,5.0258713,3.7592878,33.332382
Australia,AUS,1950,128.31537,493.1095,44.541817,38.21757,31.056633,55.6528,10.118086,17.781548,22.476627
Australia,AUS,1951,127.19063,512.7595,46.18928,39.83225,29.725756,61.57405,10.826927,16.767942,21.971445
Australia,AUS,1952,130.8823,516.4505,40.555084,31.280287,28.186996,60.628227,12.079033,15.481325,18.98434
Australia,AUS,1953,132.42522,497.5593,36.833664,26.912317,27.484985,58.58163,12.114751,13.353942,18.456284
Australia,AUS,1954,130.54189,501.36963,40.231956,24.339647,28.070713,57.72914,12.089667,14.368771,20.847235
Australia,AUS,1955,130.55373,492.46622,35.56524,21.036613,28.026865,58.240833,11.786792,15.035695,21.486734
Australia,AUS,1956,131.91017,510.82028,39.746117,20.302174,27.274584,58.222466,12.226443,15.579722,23.587875
Australia,AUS,1957,132.87177,481.73795,42.80438,17.060429,26.80198,58.546043,13.619757,13.758302,22.178928
Australia,AUS,1958,128.99219,475.19052,34.36434,16.131025,26.545937,54.714314,14.10182,13.47294,21.126303
Australia,AUS,1959,132.79422,491.94928,47.42999,15.553942,25.672949,55.58827,12.839706,13.970253,24.873888
Australia,AUS,1960,130.28795,488.99515,35.45734,14.405522,24.178467,55.186787,12.407072,12.169764,21.589674
Australia,AUS,1961,130.84761,475.46445,31.471651,13.795779,23.31958,54.034676,13.681359,11.086192,21.47048
Australia,AUS,1962,130.99559,490.12225,33.67666,13.922313,22.661116,54.747704,15.859827,11.334843,24.363094
Australia,AUS,1963,134.83981,490.15717,32.514656,12.082544,21.221842,50.631016,17.813736,11.378185,24.527008
